Name,Closing_Price,24H Move,Percentage_Move
Apple Inc. (AAPL),252.29,-1.19,(-0.47%)
Microsoft Corporation (MSFT),447.91,-6.55,(-1.44%)
Alphabet Inc. (GOOGL),193.42,-2,(-1.02%)
"Amazon.com, Inc. (AMZN)",227.96,-3.19,(-1.38%)
"Meta Platforms, Inc. (META)",617.57,-1.87,(-0.30%)
Berkshire Hathaway Inc. (BRK-B),453.78,-1.88,(-0.41%)
NVIDIA Corporation (NVDA),133.16,2.77,(+2.12%)
"Tesla, Inc. (TSLA)",464.39,-15.47,(-3.22%)
UnitedHealth Group Incorporated (UNH),501.69,16.17,(+3.33%)
Johnson & Johnson (JNJ),145.24,-1.17,(-0.80%)
Exxon Mobil Corporation (XOM),108.03,0.01,(+0.01%)
JPMorgan Chase & Co. (JPM),234.97,-3.39,(-1.42%)
Visa Inc. (V),316.08,-2.22,(-0.70%)
The Procter & Gamble Company (PG),169.65,-0.68,(-0.40%)
Mastercard Incorporated (MA),529.03,-1.98,(-0.37%)
"The Home Depot, Inc. (HD)",400.33,-8.14,(-1.99%)
Chevron Corporation (CVX),146.15,-1.96,(-1.32%)
"Merck & Co., Inc. (MRK)",99.08,-0.97,(-0.97%)
Broadcom Inc. (AVGO),228.49,-11.74,(-4.89%)
The Coca-Cola Company (KO),63.27,-0.13,(-0.21%)
"PepsiCo, Inc. (PEP)",154.28,-1.86,(-1.19%)
Costco Wholesale Corporation (COST),973.71,-8.38,(-0.85%)
Thermo Fisher Scientific Inc. (TMO),522.41,-6.43,(-1.22%)
Pfizer Inc. (PFE),26.17,-0.26,(-1.00%)
The Walt Disney Company (DIS),113.66,0.64,(+0.57%)
Adobe Inc. (ADBE),449.32,-5.92,(-1.30%)
Comcast Corporation (CMCSA),38.38,-0.42,(-1.08%)
"Salesforce, Inc. (CRM)",346.16,-4.41,(-1.26%)
Accenture plc (ACN),352.89,-4.41,(-1.24%)
Abbott Laboratories (ABT),112.35,-0.94,(-0.83%)
Intel Corporation (INTC),19.98,-0.46,(-2.25%)
Linde plc (LIN),425.69,-4.51,(-1.05%)
Target Corporation (TGT),132.72,1.12,(+0.85%)
"Advanced Micro Devices, Inc. (AMD)",124.82,-0.2,(-0.16%)
Honeywell International Inc. (HON),228.91,-4.22,(-1.81%)
"Netflix, Inc. (NFLX)",908.13,-11,(-1.20%)
Texas Instruments Incorporated (TXN),189.95,1.83,(+0.97%)
Verizon Communications Inc. (VZ),40.38,-0.4,(-0.99%)
Amgen Inc. (AMGN),261.77,-4.18,(-1.57%)
"T-Mobile US, Inc. (TMUS)",221.39,0.68,(+0.31%)
